Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:09:55.458887, 0, 18, 4, 8889/11019, 67.525/250.0, 51, 1350
23:09:55.461317, 1, 25, 8, 8889/11019, 65.239/250.0, 50, 1380
23:09:55.466196, 2, 34, 13, 8889/11019, 85.312/250.0, 60, 1440
23:09:55.469861, 3, 25, 13, 8987/11016, 80.61/250.0, 67, 1350
23:09:56.473335, 0, 28, 6, 8889/11019, 65.203/250.0, 51, 1350
23:09:56.476000, 1, 27, 9, 8889/11019, 64.568/250.0, 50, 1350
23:09:56.478294, 2, 37, 14, 8889/11019, 80.946/250.0, 60, 1545
23:09:56.480629, 3, 25, 14, 8987/11016, 80.79/250.0, 67, 1350
23:09:57.483993, 0, 26, 6, 8889/11019, 65.197/250.0, 51, 1350
23:09:57.486277, 1, 25, 9, 8889/11019, 64.278/250.0, 51, 1350
23:09:57.488545, 2, 35, 13, 8889/11019, 84.08800000000001/250.0, 60, 1545
23:09:57.494363, 3, 25, 14, 8987/11016, 76.914/250.0, 67, 1350
23:09:58.497836, 0, 27, 6, 8889/11019, 67.398/250.0, 51, 1350
23:09:58.501983, 1, 27, 10, 8889/11019, 65.004/250.0, 50, 1350
23:09:58.504087, 2, 37, 14, 8889/11019, 80.909/250.0, 60, 1500
23:09:58.506152, 3, 25, 14, 8987/11016, 75.511/250.0, 67, 1350
23:09:59.510949, 0, 28, 6, 8889/11019, 65.339/250.0, 51, 1350
23:09:59.513734, 1, 27, 9, 8889/11019, 66.101/250.0, 50, 1350
23:09:59.516171, 2, 35, 13, 8889/11019, 79.914/250.0, 60, 1440
23:09:59.518514, 3, 25, 14, 8987/11016, 83.45400000000001/250.0, 67, 1350
23:10:00.523001, 0, 26, 6, 8889/11019, 67.443/250.0, 51, 1350
23:10:00.525508, 1, 26, 9, 8889/11019, 62.114000000000004/250.0, 50, 1350
23:10:00.528438, 2, 37, 13, 8889/11019, 82.679/250.0, 60, 1440
