Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
07:05:48.232030, 2, 0, 0, 1/11019, 2.59/250.0, 41, 300
07:05:48.234581, 3, 0, 0, 99/11016, 24.589000000000002/250.0, 48, 300
07:05:49.237850, 0, 58, 9, 8377/11019, 115.51/250.0, 71, 1830
07:05:49.240560, 1, 0, 0, 1/11019, 19.299/250.0, 40, 300
07:05:49.243506, 2, 0, 0, 1/11019, 2.595/250.0, 41, 300
07:05:49.246260, 3, 0, 0, 99/11016, 24.699/250.0, 48, 300
07:05:50.249505, 0, 55, 8, 8377/11019, 96.316/250.0, 70, 1830
07:05:50.252220, 1, 0, 0, 1/11019, 19.279/250.0, 40, 300
07:05:50.254887, 2, 0, 0, 1/11019, 2.117/250.0, 41, 300
07:05:50.257466, 3, 0, 0, 99/11016, 25.042/250.0, 48, 300
07:05:51.261067, 0, 52, 33, 8377/11019, 126.01/250.0, 72, 1830
07:05:51.265036, 1, 0, 0, 1/11019, 19.182000000000002/250.0, 40, 300
07:05:51.268020, 2, 0, 0, 1/11019, 2.859/250.0, 41, 300
07:05:51.270596, 3, 0, 0, 99/11016, 24.908/250.0, 48, 300
07:05:52.274035, 0, 65, 17, 8377/11019, 128.635/250.0, 71, 1830
07:05:52.276805, 1, 0, 0, 1/11019, 18.942/250.0, 40, 300
07:05:52.279784, 2, 0, 0, 1/11019, 3.2520000000000002/250.0, 41, 300
07:05:52.282528, 3, 0, 0, 99/11016, 24.598/250.0, 48, 300
07:05:53.286304, 0, 68, 18, 8377/11019, 128.204/250.0, 71, 1830
07:05:53.289221, 1, 0, 0, 1/11019, 19.121/250.0, 40, 300
07:05:53.292708, 2, 0, 0, 1/11019, 3.047/250.0, 41, 300
07:05:53.295432, 3, 0, 0, 99/11016, 24.444/250.0, 48, 300
07:05:54.299007, 0, 69, 18, 8377/11019, 128.288/250.0, 71, 1830
07:05:54.302022, 1, 0, 0, 1/11019, 19.26/250.0, 40, 300
07:05:54.304988, 2, 0, 0, 1/11019, 3.348/250.0, 41, 300
07:05:54.307693, 3, 0, 0, 99/11016, 24.731/250.0, 48, 300
07:05:55.311329, 0, 69, 18, 8377/11019, 127.151/250.0, 70, 1830
07:05:55.314091, 1, 0, 0, 1/11019, 19.127/250.0, 40, 300
07:05:55.317093, 2, 0, 0, 1/11019, 3.015/250.0, 41, 300
07:05:55.319720, 3, 0, 0, 99/11016, 24.25/250.0, 48, 300
07:05:56.323247, 0, 69, 18, 8377/11019, 127.035/250.0, 70, 1830
07:05:56.326067, 1, 0, 0, 1/11019, 19.226/250.0, 40, 300
07:05:56.328987, 2, 0, 0, 1/11019, 3.105/250.0, 41, 300
07:05:56.332188, 3, 0, 0, 99/11016, 24.301000000000002/250.0, 48, 300
07:05:57.335645, 0, 70, 18, 8377/11019, 127.24000000000001/250.0, 70, 1830
07:05:57.338412, 1, 0, 0, 1/11019, 19.401/250.0, 40, 300
07:05:57.341371, 2, 0, 0, 1/11019, 3.074/250.0, 41, 300
07:05:57.344037, 3, 0, 0, 99/11016, 24.436/250.0, 48, 300
07:05:58.347574, 0, 70, 18, 8377/11019, 126.44500000000001/250.0, 70, 1830
07:05:58.350449, 1, 0, 0, 1/11019, 19.302/250.0, 40, 300
07:05:58.353595, 2, 0, 0, 1/11019, 3.028/250.0, 41, 300
