Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:39:42.374024, 0, 28, 6, 8889/11019, 70.96600000000001/250.0, 65, 1350
23:39:42.380001, 1, 29, 10, 8889/11019, 61.795/250.0, 44, 1440
23:39:42.387099, 2, 34, 13, 8889/11019, 105.43/250.0, 49, 1875
23:39:42.392614, 3, 0, 0, 98/11016, 24.42/250.0, 50, 300
23:39:43.398478, 0, 29, 6, 8889/11019, 71.055/250.0, 65, 1350
23:39:43.403068, 1, 30, 10, 8889/11019, 60.194/250.0, 44, 1350
23:39:43.407338, 2, 35, 13, 8889/11019, 88.952/250.0, 49, 1770
23:39:43.413077, 3, 0, 0, 98/11016, 24.513/250.0, 50, 300
23:39:44.420164, 0, 26, 6, 8889/11019, 73.124/250.0, 64, 1350
23:39:44.424842, 1, 28, 10, 8889/11019, 59.135/250.0, 44, 1350
23:39:44.428989, 2, 35, 13, 8889/11019, 83.519/250.0, 48, 1680
23:39:44.435947, 3, 0, 0, 98/11016, 24.599/250.0, 50, 300
23:39:45.441008, 0, 28, 6, 8889/11019, 73.303/250.0, 64, 1350
23:39:45.445152, 1, 28, 10, 8889/11019, 58.22/250.0, 44, 1350
23:39:45.449477, 2, 35, 13, 8889/11019, 78.063/250.0, 49, 1590
23:39:45.458009, 3, 0, 0, 98/11016, 24.494/250.0, 50, 300
23:39:46.464565, 0, 27, 6, 8889/11019, 72.738/250.0, 64, 1350
23:39:46.469399, 1, 27, 9, 8889/11019, 59.032000000000004/250.0, 44, 1350
23:39:46.474030, 2, 35, 13, 8889/11019, 75.56700000000001/250.0, 49, 1530
23:39:46.479067, 3, 0, 0, 98/11016, 24.767/250.0, 50, 300
23:39:47.484023, 0, 29, 6, 8889/11019, 73.105/250.0, 64, 1350
23:39:47.488135, 1, 26, 9, 8889/11019, 56.651/250.0, 44, 1350
23:39:47.494156, 2, 34, 13, 8889/11019, 77.07600000000001/250.0, 49, 1530
23:39:47.499113, 3, 0, 0, 98/11016, 24.67/250.0, 50, 300
23:39:48.503871, 0, 31, 7, 8889/11019, 69.95700000000001/250.0, 63, 1350
23:39:48.508307, 1, 31, 10, 8889/11019, 58.614000000000004/250.0, 44, 1350
23:39:48.512983, 2, 36, 13, 8889/11019, 75.18/250.0, 49, 1545
23:39:48.515860, 3, 0, 0, 98/11016, 24.765/250.0, 50, 300
23:39:49.520587, 0, 31, 6, 8889/11019, 69.543/250.0, 63, 1350
23:39:49.527019, 1, 29, 10, 8889/11019, 56.337/250.0, 44, 1350
23:39:49.531444, 2, 35, 13, 8889/11019, 76.412/250.0, 49, 1590
23:39:49.539239, 3, 0, 0, 98/11016, 24.763/250.0, 50, 300
23:39:50.548593, 0, 27, 6, 8889/11019, 69.34700000000001/250.0, 63, 1350
23:39:50.552677, 1, 28, 9, 8889/11019, 56.485/250.0, 44, 1350
23:39:50.559290, 2, 34, 13, 8889/11019, 80.738/250.0, 50, 1620
23:39:50.561940, 3, 0, 0, 98/11016, 24.787/250.0, 49, 300
23:39:51.566051, 0, 30, 7, 8889/11019, 72.477/250.0, 62, 1350
23:39:51.569936, 1, 27, 10, 8889/11019, 56.889/250.0, 44, 1350
23:39:51.578588, 2, 36, 13, 8889/11019, 78.223/250.0, 49, 1620
23:39:51.585544, 3, 0, 0, 98/11016, 24.654/250.0, 50, 300
23:39:52.588980, 0, 29, 6, 8889/11019, 70.592/250.0, 62, 1350
23:39:52.591205, 1, 28, 10, 8889/11019, 57.008/250.0, 44, 1350
23:39:52.602468, 2, 34, 13, 8889/11019, 76.584/250.0, 49, 1470
23:39:52.609505, 3, 0, 0, 98/11016, 24.755/250.0, 50, 300
23:39:53.613491, 0, 28, 6, 8889/11019, 71.154/250.0, 62, 1350
23:39:53.618226, 1, 28, 10, 8889/11019, 58.236000000000004/250.0, 44, 1350
23:39:53.624632, 2, 33, 12, 8889/11019, 68.473/250.0, 50, 1395
23:39:53.635545, 3, 0, 0, 98/11016, 24.757/250.0, 49, 300
23:39:54.641670, 0, 33, 8, 8889/11019, 126.649/250.0, 63, 1860
23:39:54.649267, 1, 28, 10, 8889/11019, 63.235/250.0, 45, 1350
23:39:54.653125, 2, 37, 14, 8889/11019, 133.19400000000002/250.0, 52, 1875
23:39:54.658119, 3, 0, 0, 98/11016, 24.507/250.0, 49, 300
23:39:55.663110, 0, 31, 7, 8889/11019, 92.48700000000001/250.0, 63, 1860
23:39:55.666838, 1, 33, 12, 8889/11019, 76.224/250.0, 46, 1890
23:39:55.673683, 2, 47, 18, 8889/11019, 84.05/250.0, 51, 1875
23:39:55.680789, 3, 0, 0, 98/11016, 25.113/250.0, 49, 300
23:39:56.685966, 0, 34, 7, 8889/11019, 115.646/250.0, 63, 1860
23:39:56.692398, 1, 29, 11, 8889/11019, 112.934/250.0, 47, 1890
23:39:56.697835, 2, 12, 5, 8889/11019, 125.294/250.0, 52, 1875
23:39:56.703706, 3, 0, 0, 98/11016, 24.315/250.0, 50, 300
23:39:57.708674, 0, 44, 8, 8889/11019, 92.738/250.0, 63, 1860
23:39:57.712403, 1, 57, 20, 8889/11019, 96.261/250.0, 47, 1890
23:39:57.717128, 2, 63, 22, 8889/11019, 101.059/250.0, 52, 1875
