Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:37:40.191055, 0, 15, 3, 8889/11019, 70.992/250.0, 67, 1350
05:37:40.193504, 1, 16, 6, 8889/11019, 54.800000000000004/250.0, 44, 1350
05:37:40.195837, 2, 21, 8, 8889/11019, 66.362/250.0, 48, 1350
05:37:40.198808, 3, 0, 0, 99/11016, 25.051000000000002/250.0, 50, 300
05:37:41.202266, 0, 15, 3, 8889/11019, 70.412/250.0, 66, 1350
05:37:41.206579, 1, 17, 6, 8889/11019, 54.721000000000004/250.0, 44, 1350
05:37:41.210405, 2, 22, 8, 8889/11019, 64.946/250.0, 48, 1350
05:37:41.213270, 3, 0, 0, 99/11016, 25.285/250.0, 50, 300
05:37:42.216941, 0, 15, 3, 8889/11019, 70.883/250.0, 66, 1350
05:37:42.219247, 1, 17, 6, 8889/11019, 54.657000000000004/250.0, 44, 1350
05:37:42.221601, 2, 21, 7, 8889/11019, 64.953/250.0, 48, 1350
05:37:42.224390, 3, 0, 0, 99/11016, 24.887/250.0, 50, 300
05:37:43.227968, 0, 16, 3, 8889/11019, 70.532/250.0, 65, 1350
05:37:43.232068, 1, 16, 6, 8889/11019, 55.018/250.0, 44, 1350
05:37:43.236046, 2, 20, 7, 8889/11019, 58.012/250.0, 48, 1350
05:37:43.238689, 3, 0, 0, 99/11016, 25.061/250.0, 50, 300
05:37:44.242202, 0, 19, 4, 8889/11019, 74.108/250.0, 65, 1500
05:37:44.244485, 1, 14, 5, 8889/11019, 57.83/250.0, 44, 1350
05:37:44.247407, 2, 21, 8, 8889/11019, 66.931/250.0, 49, 1350
05:37:44.250420, 3, 0, 0, 99/11016, 24.845/250.0, 51, 300
05:37:45.253937, 0, 19, 4, 8889/11019, 73.416/250.0, 65, 1515
05:37:45.257977, 1, 17, 6, 8889/11019, 48.201/250.0, 44, 1350
05:37:45.260412, 2, 23, 8, 8889/11019, 59.214/250.0, 49, 1350
05:37:45.263310, 3, 0, 0, 99/11016, 25.34/250.0, 50, 300
05:37:46.266593, 0, 0, 0, 8889/11019, 73.215/250.0, 65, 1515
05:37:46.268651, 1, 0, 0, 8889/11019, 48.202/250.0, 44, 1350
05:37:46.270748, 2, 3, 1, 8889/11019, 59.273/250.0, 49, 1350
05:37:46.273366, 3, 0, 0, 99/11016, 25.313/250.0, 50, 300
05:37:47.276558, 0, 5, 0, 8889/11019, 65.436/250.0, 64, 1350
05:37:47.278480, 1, 7, 0, 8889/11019, 47.71/250.0, 44, 1350
05:37:47.280488, 2, 0, 0, 8889/11019, 59.277/250.0, 49, 1350
05:37:47.282935, 3, 0, 0, 99/11016, 25.39/250.0, 50, 300
05:37:48.286914, 0, 4, 0, 8889/11019, 65.119/250.0, 63, 1350
05:37:48.293462, 1, 0, 0, 8889/11019, 48.328/250.0, 44, 1350
