Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:27:20.345500, 0, 62, 14, 8377/11019, 97.818/250.0, 43, 1905
13:27:20.347947, 1, 55, 10, 8377/11019, 98.944/250.0, 47, 1890
13:27:20.350351, 2, 59, 15, 8377/11019, 111.188/250.0, 48, 1875
13:27:20.354938, 3, 0, 0, 98/11016, 23.62/250.0, 46, 300
13:27:21.358574, 0, 61, 13, 8377/11019, 102.33800000000001/250.0, 44, 1905
13:27:21.361119, 1, 57, 11, 8377/11019, 99.249/250.0, 46, 1890
13:27:21.363584, 2, 59, 16, 8377/11019, 123.995/250.0, 48, 1875
13:27:21.366412, 3, 0, 0, 98/11016, 23.16/250.0, 46, 300
13:27:22.369835, 0, 68, 15, 8377/11019, 98.617/250.0, 44, 1905
13:27:22.372458, 1, 60, 11, 8377/11019, 99.523/250.0, 47, 1890
13:27:22.374730, 2, 63, 17, 8377/11019, 82.151/250.0, 48, 1875
13:27:22.377700, 3, 0, 0, 98/11016, 23.506/250.0, 46, 300
13:27:23.381690, 0, 39, 10, 8377/11019, 93.056/250.0, 43, 1905
13:27:23.384332, 1, 59, 12, 8377/11019, 110.547/250.0, 47, 1890
13:27:23.386856, 2, 33, 11, 8377/11019, 111.697/250.0, 49, 1875
13:27:23.392045, 3, 0, 0, 98/11016, 23.879/250.0, 46, 300
13:27:24.395502, 0, 60, 7, 8377/11019, 93.461/250.0, 43, 1905
13:27:24.398475, 1, 59, 11, 8377/11019, 99.869/250.0, 47, 1890
13:27:24.403453, 2, 60, 13, 8377/11019, 97.907/250.0, 49, 1875
13:27:24.406695, 3, 0, 0, 98/11016, 24.127/250.0, 46, 300
13:27:25.410911, 0, 60, 7, 8377/11019, 81.056/250.0, 43, 1905
13:27:25.413557, 1, 60, 11, 8377/11019, 100.22800000000001/250.0, 47, 1890
13:27:25.415892, 2, 60, 12, 8377/11019, 82.638/250.0, 49, 1875
13:27:25.418825, 3, 0, 0, 98/11016, 23.992/250.0, 46, 300
13:27:26.422765, 0, 24, 6, 8377/11019, 242.421/250.0, 49, 1875
13:27:26.425426, 1, 62, 14, 8377/11019, 99.706/250.0, 47, 1890
13:27:26.428194, 2, 22, 10, 8377/11019, 129.172/250.0, 50, 1860
13:27:26.431652, 3, 0, 0, 98/11016, 23.109/250.0, 46, 300
13:27:27.435247, 0, 72, 36, 8377/11019, 108.385/250.0, 45, 1890
13:27:27.438017, 1, 58, 12, 8377/11019, 100.545/250.0, 48, 1890
13:27:27.440478, 2, 67, 30, 8377/11019, 104.095/250.0, 50, 1860
13:27:27.443277, 3, 0, 0, 98/11016, 23.692/250.0, 46, 300
13:27:28.447165, 0, 65, 15, 8377/11019, 109.727/250.0, 45, 1890
13:27:28.450317, 1, 59, 11, 8377/11019, 100.414/250.0, 48, 1890
13:27:28.455705, 2, 62, 16, 8377/11019, 124.723/250.0, 51, 1860
13:27:28.460421, 3, 0, 0, 98/11016, 23.709/250.0, 46, 300
13:27:29.463736, 0, 66, 15, 8377/11019, 110.086/250.0, 45, 1890
13:27:29.466213, 1, 60, 12, 8377/11019, 90.515/250.0, 48, 1890
