Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:55:51.827617, 0, 64, 15, 8377/11019, 116.358/250.0, 71, 1830
13:55:51.830797, 1, 59, 12, 8377/11019, 102.364/250.0, 49, 1890
13:55:51.833530, 2, 50, 11, 8377/11019, 106.933/250.0, 53, 1860
13:55:51.836363, 3, 0, 0, 99/11016, 24.537/250.0, 49, 300
13:55:52.839669, 0, 66, 15, 8377/11019, 129.969/250.0, 72, 1830
13:55:52.842216, 1, 57, 11, 8377/11019, 102.357/250.0, 49, 1890
13:55:52.845001, 2, 57, 12, 8377/11019, 83.807/250.0, 52, 1860
13:55:52.847611, 3, 0, 0, 99/11016, 24.243000000000002/250.0, 49, 300
13:55:53.851248, 0, 57, 15, 8377/11019, 99.061/250.0, 70, 1845
13:55:53.854148, 1, 62, 12, 8377/11019, 102.732/250.0, 50, 1890
13:55:53.856772, 2, 33, 22, 8377/11019, 139.318/250.0, 54, 1845
13:55:53.859730, 3, 0, 0, 99/11016, 24.432000000000002/250.0, 49, 300
13:55:54.863534, 0, 45, 6, 8377/11019, 112.407/250.0, 70, 1845
13:55:54.866723, 1, 59, 13, 8377/11019, 102.385/250.0, 50, 1890
13:55:54.869017, 2, 69, 26, 8377/11019, 121.158/250.0, 54, 1845
13:55:54.874727, 3, 0, 0, 99/11016, 24.271/250.0, 49, 300
13:55:55.878700, 0, 61, 8, 8377/11019, 110.658/250.0, 70, 1845
13:55:55.881647, 1, 58, 11, 8377/11019, 102.559/250.0, 50, 1890
13:55:55.884061, 2, 69, 19, 8377/11019, 116.388/250.0, 54, 1845
13:55:55.887130, 3, 0, 0, 99/11016, 24.325/250.0, 49, 300
13:55:56.890740, 0, 38, 4, 8377/11019, 98.706/250.0, 69, 1845
13:55:56.893840, 1, 58, 11, 8377/11019, 102.893/250.0, 51, 1890
13:55:56.896160, 2, 69, 20, 8377/11019, 116.405/250.0, 54, 1845
13:55:56.899395, 3, 0, 0, 99/11016, 24.496000000000002/250.0, 49, 300
13:55:57.903193, 0, 49, 33, 8377/11019, 155.824/250.0, 71, 1845
13:55:57.905998, 1, 57, 12, 8377/11019, 103.241/250.0, 50, 1890
13:55:57.910186, 2, 72, 20, 8377/11019, 116.428/250.0, 54, 1845
13:55:57.913186, 3, 0, 0, 99/11016, 23.932000000000002/250.0, 49, 300
13:55:58.917088, 0, 64, 14, 8377/11019, 123.858/250.0, 70, 1845
13:55:58.920050, 1, 57, 12, 8377/11019, 103.235/250.0, 51, 1890
13:55:58.922829, 2, 70, 20, 8377/11019, 116.764/250.0, 55, 1845
13:55:58.926020, 3, 0, 0, 99/11016, 24.224/250.0, 49, 300
13:55:59.929871, 0, 65, 15, 8377/11019, 129.649/250.0, 70, 1845
13:55:59.932467, 1, 59, 11, 8377/11019, 103.522/250.0, 51, 1890
13:55:59.935102, 2, 69, 19, 8377/11019, 129.448/250.0, 55, 1845
13:55:59.938220, 3, 0, 0, 99/11016, 23.938/250.0, 49, 300
13:56:00.941815, 0, 67, 16, 8377/11019, 125.381/250.0, 69, 1845
13:56:00.944226, 1, 58, 11, 8377/11019, 103.533/250.0, 51, 1890
13:56:00.946588, 2, 70, 20, 8377/11019, 116.93900000000001/250.0, 55, 1845
13:56:00.949827, 3, 0, 0, 99/11016, 24.122/250.0, 49, 300
13:56:01.953823, 0, 70, 16, 8377/11019, 124.438/250.0, 69, 1845
13:56:01.956711, 1, 59, 11, 8377/11019, 103.533/250.0, 51, 1890
13:56:01.959470, 2, 72, 20, 8377/11019, 130.059/250.0, 56, 1845
13:56:01.962374, 3, 0, 0, 99/11016, 24.039/250.0, 49, 300
13:56:02.966089, 0, 68, 17, 8377/11019, 113.652/250.0, 69, 1845
13:56:02.968374, 1, 63, 12, 8377/11019, 86.68/250.0, 51, 1890
13:56:02.970804, 2, 37, 11, 8377/11019, 118.164/250.0, 56, 1845
13:56:02.973596, 3, 0, 0, 99/11016, 24.051000000000002/250.0, 49, 300
13:56:03.977140, 0, 68, 16, 8377/11019, 113.944/250.0, 69, 1845
13:56:03.980219, 1, 27, 7, 8377/11019, 92.73400000000001/250.0, 52, 1890
13:56:03.984302, 2, 68, 15, 8377/11019, 118.223/250.0, 56, 1845
13:56:03.986992, 3, 0, 0, 99/11016, 24.045/250.0, 49, 300
13:56:04.991151, 0, 70, 16, 8377/11019, 128.131/250.0, 69, 1845
13:56:04.993873, 1, 58, 7, 8377/11019, 92.745/250.0, 51, 1890
13:56:04.996134, 2, 35, 7, 8377/11019, 84.108/250.0, 55, 1845
13:56:04.999229, 3, 0, 0, 99/11016, 24.396/250.0, 49, 300
